"Population1","Population2","Fst"
"AZ","FN",0.0751778955906969
"AZ","RN",0.0454352200983501
"AZ","SW",0.0735816829008221
"AZ","DK",0.0597746336935048
"AZ","TX",0.051491850536915
"AZ","IR",0.0520175898583801
"AZ","CS",0.0747030622669925
"AZ","FR",0.00592663416584367
"AZ","PL",0.00631946353828704
"AZ","PO",0.0194335435986902
"AZ","SL",0.00880724068923236
"AZ","IT",0.000917877167685795
"AZ","MK",0.0032042813021253
"AZ","TR",0.0139688323292298
"AZ","MT",0.00366236402509595
"AZ","CA",0.00745136651660075
"AZ","NC",0.00280186979131993
"AZ","MD",0.00540733391347033
"AZ","IL",0.00311667160794454
"AZ","MN",0.00551205185853386
"NC","RN",0.0465184767758736
"NC","SW",0.0764895173888785
"NC","TX",0.0539323105400758
"NC","PL",0.004487111056345
"NC","PO",0.0240445028144246
"NC","SL",0.00689998399206108
"NC","TR",0.0131153229926176
"MD","RN",0.0308233415124017
"MD","SW",0.0567939468137149
"MD","TX",0.0371054025430261
"MD","PL",0.00299004159679163
"MD","PO",0.0137097267199892
"MD","SL",0.0182976944464871
"MD","MK",0.0116557164230054
"MD","TR",0.0261108733011286
"MD","MT",0.0121893174507969
"MD","NC",0.0012262546186699
"MD","MN",0.0103808789080433
"IL","RN",0.0579587263171846
"IL","SW",0.0901780324659239
"IL","TX",0.0660807398213454
"IL","IR",0.0635044655209375
"IL","PL",0.00941886228768013
"IL","PO",0.0315548523092463
"IL","SL",0.00473418822567784
"IL","IT",0.0024978373611695
"IL","MK",0.00430550270298511
"IL","TR",0.0113630809481012
"IL","MT",0.00319334185953335
"IL","NC",0.000143218841932445
"IL","MD",0.0061209706876659
"IL","MN",0.000138021322580756
"MN","RN",0.0678737894211559
"MN","SW",0.102689012597884
"MN","TX",0.0764675181696627
"MN","PL",0.0129252943645089
"MN","PO",0.0380070797203007
"MN","SL",0.002023326100865
"MN","TR",0.00792790718941751
"MN","MT",0.00277591924068796
"MN","NC",0.00216956588685729
