"Population1","Population2","Fst"
"FR","SW",0.0419261803700681
"FR","TX",0.0321237272607381
"FR","IR",0.0350081937756311
"FR","PL",0.000441749326993084
"FR","PO",0.0106937795268356
"FR","SL",0.0325403089290149
"FR","IT",0.0172355274556381
"FR","MK",0.024079030403477
"FR","TR",0.0334796726816213
"FR","MT",0.0281716129196999
"FR","NC",0.019040399097621
"FR","MD",0.0159173124854763
"FR","IL",0.0155992651265326
"FR","MN",0.0259791946396674
"PL","RN",0.0396670538050792
"PL","SW",0.0503299225242691
"PL","TX",0.0390764852474233
"PL","PO",0.0110686450177873
"PL","SL",0.0242434434744841
"PL","TR",0.0275408298969986
"PO","RN",0.0199981552074901
"PO","SW",0.0265243203119967
"PO","TX",0.0176510547303053
"PO","SL",0.0562840692815605
"PO","TR",0.0605100734357042
"SL","SW",0.1317884014278
"SL","TX",0.115863259557797
"SL","TR",0.00297515994699684
"IT","RN",0.0861034216934586
"IT","SW",0.0979445687224963
"IT","TX",0.0831129301719657
"IT","PL",0.0103469227739525
"IT","PO",0.0299579619315015
"IT","SL",0.00391154238310854
"IT","MK",0.00293182040948369
"IT","TR",0.0105295660965037
"IT","MT",0.00313665129531086
"IT","NC",0.00090433794867673
"IT","MD",0.00111300113645395
"IT","MN",0.000978435628784716
"MK","RN",0.0991190990323338
"MK","SW",0.111566144208557
"MK","TX",0.0964958895309999
"MK","PL",0.0165374246323398
"MK","PO",0.0416389931886912
"MK","SL",0.00243878519217845
"MK","TR",0.00463741978798355
"MK","MT",0.00117144857110316
"MK","NC",0.0048634333615108
"MK","MN",0.00343373373117506
"TR","TX",0.119193560703078
"MT","RN",0.107372157893381
"MT","SW",0.119898879473171
"MT","TX",0.105218084250633
"MT","PL",0.0193789416930434
"MT","PO",0.0485544707040743
"MT","SL",0.00137776939151876
"MT","TR",0.00796522892175208
"MT","NC",0.00129369134394263
"CA","FN",0.139122889060478
"CA","RN",0.12401980030767
"CA","SW",0.137087663763326
"CA","DK",0.117417419524711
"CA","TX",0.121179581918715
"CA","IR",0.12652470189424
"CA","CS",0.137572815754593
"CA","FR",0.03355025699361
"CA","PL",0.0265073235274877
"CA","PO",0.0596214867815803
"CA","SL",0.0016384641779584
"CA","IT",0.0063589574588122
"CA","MK",0.00457075733040788
"CA","TR",0.00154550588330497
"CA","MT",0.00547041986678197
"CA","NC",0.00738115450228312
"CA","MD",0.0140913562953127
"CA","IL",0.0115361249311403
"CA","MN",0.00589667730706303
"AZ","FN",0.0886972688125658
"AZ","RN",0.0758153482672744
"AZ","SW",0.0863700121267238
"AZ","DK",0.0708399151396914
"AZ","TX",0.0733043360098797
"AZ","IR",0.0791682247258744
"AZ","CS",0.08780674277303
"AZ","FR",0.0152335278089104
"AZ","PL",0.00929204803239746
"AZ","PO",0.025553549875533
"AZ","SL",0.0104663018917118
"AZ","IT",0.00248037959663656
"AZ","MK",0.00540276360132947
"AZ","TR",0.0162203071227575
"AZ","MT",0.00569525629174253
"AZ","CA",0.0130264568405269
"AZ","NC",0.0041207413961944
"AZ","MD",0.00274583080022088
"AZ","IL",0.00152016467346822
"AZ","MN",0.00504833112903164
"NC","RN",0.0912180050862362
"NC","SW",0.103082335255023
"NC","TX",0.0891290174979691
"NC","PL",0.0116318849615417
"NC","PO",0.0379906010255323
"NC","SL",0.00434956653865539
"NC","TR",0.0119895092525694
"MD","RN",0.0769109334325268
